text,cleaned_text,agg_labels
Happy Star Wars day everyone! and Enjoy the holiday (UK),happy star wars day everyone enjoy holiday uk,1
Happy Mothers day to all you Mums out there,happy mothers day mums,1
happy mother`s day to all moms out there...,happy mothers day moms,1
happy mother`s day to all the mothers in the world.,happy mothers day mothers world,1
HAPPY MOTHERS DAY.!,happy mothers day,1
Happy Mothers Day people. i love my mom a lot still,happy mothers day people love mom lot still,1
Woo CAVS.  Happy Mother`s Day!,woo cavs happy mothers day,1
" I love mine, too . happy motherï¿½s day to your mom , John Taylor  . much love to you, too .",love mine happy mothers day mom john taylor much love,1
loves her mum very much! Happy Mothers Day to all the wonderful mothers out there,loves mum much happy mothers day wonderful mothers,1
Nyappy mother`s day to your mom`s.,nyappy mothers day moms,1
" http://twitpic.com/4v0vr - cool! you and your mother have awesome hair styles,! Wish her a happy mother`s day!",httptwitpiccomvvr cool mother awesome hair styles wish happy mothers day,1
happy mother`s day mothers.,happy mothers day mothers,1
says Happy Mother`s Day to all Moms out there  http://plurk.com/p/stkr2,says happy mothers day moms httpplurkcompstkr,1
"Oh, and yippee for Lyn-Z Way who gets to celebrate Mother`s Day for the first time as a mother.",oh yippee lynz way gets celebrate mothers day first time mother,1
"HAPPY MOTHER`S DAY to my Mom, and every Mom everywhere.  Off for a stroll at the Beaches later--hopefully...",happy mothers day mom every mom everywhere stroll beaches laterhopefully,1
Searching my home for a few things to cook them for dinner this evening. It`s mothers day so guess who im eating with,searching home things cook dinner evening mothers day guess im eating,1
Happy Mother`s Day to all the mommies,happy mothers day mommies,1
Enjoying Mother`s Day,enjoying mothers day,1
Wishing all the mommies out there a very happy day!!!,wishing mommies happy day,1
Happy Star Wars Day ...  'May the 4th be with you'.... read http://tinyurl.com/axsujx for more ;),happy star wars day may th read httptinyurlcomaxsujx,1
is getting ready for bed. Happy Mother`s Day to all the mothers out there!,getting ready bed happy mothers day mothers,1
may the fourth be with you! happy star wars day,may fourth happy star wars day,1
"can`t believe I just drove all the way back to school...whatever HAPPY MOTHER`S DAY: Mommy, Precious, Candis and Granny",cant believe drove way back schoolwhatever happy mothers day mommy precious candis granny,1
