Text,agg_Label,Cluster,Predicted Sentiment,Real Sentiment
id responded going,0,Cluster 1,Negative,Neutral
sooo sad miss san diego,0,Cluster 1,Negative,Negative
boss bullying,0,Cluster 1,Negative,Negative
interview leave alone,0,Cluster 1,Negative,Negative
sons couldnt put releases already bought,0,Cluster 1,Negative,Neutral
httpwwwdothebouncycomsmf shameless plugging best rangers forum earth,0,Cluster 1,Negative,Positive
feedings baby fun smiles coos,0,Cluster 1,Negative,Positive
soooo high,0,Cluster 1,Negative,Neutral
journey wow u became cooler hehe possible,0,Cluster 1,Negative,Neutral
really really like song love story taylor swift,0,Cluster 1,Negative,Positive
sharpie running dangerously low ink,0,Cluster 1,Negative,Negative
want go music tonight lost voice,0,Cluster 1,Negative,Neutral
test test lg env,0,Cluster 1,Negative,Neutral
uh oh sunburned,0,Cluster 1,Negative,Neutral
sok trying plot alternatives speak sigh,0,Cluster 1,Negative,Neutral
ive sick past days thus hair looks wierd didnt hat would look httptinyurlcommnfkw,0,Cluster 1,Negative,Neutral
hes,0,Cluster 1,Negative,Neutral
oh marly im sorry hope find soon,0,Cluster 1,Negative,Neutral
playing ghost online really interesting new updates kirin pet metamorph third job cant wait dragon pet,0,Cluster 1,Negative,Neutral
cleaning house family comming later today,0,Cluster 1,Negative,Neutral
got ta restart computer thought win supposed put end constant rebootiness,0,Cluster 1,Negative,Neutral
see wat mean bout follw friidays called lose fllowers friday smh,0,Cluster 1,Negative,Neutral
free fillin app ipod fun im addicted,0,Cluster 1,Negative,Positive
im sorry,0,Cluster 1,Negative,Negative
way malaysiano internet access twit,0,Cluster 1,Negative,Neutral
juss came backk berkeleyy omg madd fun havent minute whassqoodd,0,Cluster 1,Negative,Neutral
went sleep power cut noida power back working,0,Cluster 1,Negative,Neutral
im going home seen new twitter design quiteheavenly,0,Cluster 1,Negative,Neutral
hope unni make audition fighting dahye unni,0,Cluster 1,Negative,Positive
consolation got bmi tested hahaha says obesed well much unhappy minutes,0,Cluster 1,Negative,Positive
thats funny cute kids,0,Cluster 1,Negative,Positive
thats end tears fears vs eric prydz dj hero httpbitlyhpbg,0,Cluster 1,Negative,Positive
born raised nyc living texas past years still miss ny,0,Cluster 1,Negative,Neutral
case wonder really busy today coming adding tons new blogs updates stay tuned,0,Cluster 1,Negative,Neutral
im soooooo sleeeeepy last day school todaysniffle,0,Cluster 1,Negative,Neutral
little happy wine jeje ok itsm free time cares jaja love day,0,Cluster 1,Negative,Positive
car happy big big dent boot hoping theyre going write crossing fingers waiting,0,Cluster 1,Negative,Neutral
im avid fan magazine love magazines,0,Cluster 1,Negative,Positive
mayday,0,Cluster 1,Negative,Neutral
ratt rocked nashville toniteone thing sucked encore like still fun show pearcy hott bad boy look,0,Cluster 1,Negative,Positive
love im available pm dear would love help convert vids,0,Cluster 1,Negative,Positive
girl hair salon asked shall trim eyebrows old feel,0,Cluster 1,Negative,Neutral
visiting friendster facebook,0,Cluster 1,Negative,Neutral
donbt like peel prawns also dont like going shopping running money crawling round car looking,0,Cluster 1,Negative,Neutral
case got new one last week im thrilled mine,0,Cluster 1,Negative,Neutral
check httptwittersuckscom connect tweeple hate twitter,0,Cluster 1,Negative,Neutral
also bored school third freelesson freistunde,0,Cluster 1,Negative,Neutral
hm us guess,0,Cluster 1,Negative,Neutral
u dissappointed past days,0,Cluster 1,Negative,Neutral
romance zero funny,0,Cluster 1,Negative,Positive
id rather early runbut morning runner,0,Cluster 1,Negative,Neutral
bah coworker ran work late bag smacked knee really hurts,0,Cluster 1,Negative,Neutral
back later httpplurkcomprpk,0,Cluster 1,Negative,Neutral
