text,cleaned_text,agg_labels
Happy Mothers day to all you Mums out there,happy mothers day mums,1
happy mother`s day to all moms out there...,happy mothers day moms,1
happy mother`s day to all the mothers in the world.,happy mothers day mothers world,1
HAPPY MOTHERS DAY.!,happy mothers day,1
Happy Mothers Day people. i love my mom a lot still,happy mothers day people love mom lot still,1
Woo CAVS.  Happy Mother`s Day!,woo cavs happy mothers day,1
" I love mine, too . happy motherï¿½s day to your mom , John Taylor  . much love to you, too .",love mine happy mothers day mom john taylor much love,1
loves her mum very much! Happy Mothers Day to all the wonderful mothers out there,loves mum much happy mothers day wonderful mothers,1
Nyappy mother`s day to your mom`s.,nyappy mothers day moms,1
" http://twitpic.com/4v0vr - cool! you and your mother have awesome hair styles,! Wish her a happy mother`s day!",httptwitpiccomvvr cool mother awesome hair styles wish happy mothers day,1
happy mother`s day mothers.,happy mothers day mothers,1
says Happy Mother`s Day to all Moms out there  http://plurk.com/p/stkr2,says happy mothers day moms httpplurkcompstkr,1
"Oh, and yippee for Lyn-Z Way who gets to celebrate Mother`s Day for the first time as a mother.",oh yippee lynz way gets celebrate mothers day first time mother,1
"HAPPY MOTHER`S DAY to my Mom, and every Mom everywhere.  Off for a stroll at the Beaches later--hopefully...",happy mothers day mom every mom everywhere stroll beaches laterhopefully,1
Searching my home for a few things to cook them for dinner this evening. It`s mothers day so guess who im eating with,searching home things cook dinner evening mothers day guess im eating,1
Happy Mother`s Day to all the mommies,happy mothers day mommies,1
Enjoying Mother`s Day,enjoying mothers day,1
is getting ready for bed. Happy Mother`s Day to all the mothers out there!,getting ready bed happy mothers day mothers,1
"can`t believe I just drove all the way back to school...whatever HAPPY MOTHER`S DAY: Mommy, Precious, Candis and Granny",cant believe drove way back schoolwhatever happy mothers day mommy precious candis granny,1
 http://twitpic.com/4vdc3 - Lexus has the Twitpic! Happy mother`s day to you Lexus.  I hopw it`s a nice one for you.,httptwitpiccomvdc lexus twitpic happy mothers day lexus hopw nice one,1
it`s Mothers Day today,mothers day today,1
"Happy Mother`s Day to all the mommies out there, be you woman or man as long as you`re `momma` to someone this is your day!",happy mothers day mommies woman man long youre momma someone day,1
HAPPY MOMMA`s DAY ALL. HONOR YOUR MOMs  sign up for #maternalhealth  here`s for all mothers and luvin kids out there:  http://bit.ly/Bpekk,happy mommas day honor moms sign maternalhealth heres mothers luvin kids httpbitlybpekk,1
goooodnight everyone!  and Happy Mothers Day to all the mothers out there.,goooodnight everyone happy mothers day mothers,1
Happy Mothers Day!,happy mothers day,1
happy mother`s day!,happy mothers day,1
Happy Mothers day to all mums,happy mothers day mums,1
Happy Mothers Day!!!  <3,happy mothers day,1
Happy Mother`s Day to all the mothers out there!!,happy mothers day mothers,1
 Happy Mother`s Day!,happy mothers day,1
"Hope all the Mum`s out there had a Mother`s Day with love, close family & friends.",hope mums mothers day love close family friends,1
Just finished Church. Happy Mother`s Day!,finished church happy mothers day,1
