text,cleaned_text,labels
" I`d have responded, if I were going",id responded going,2
 Sooo SAD I will miss you here in San Diego!!!,sooo sad miss san diego,1
my boss is bullying me...,boss bullying,1
 what interview! leave me alone,interview leave alone,1
" Sons of ****, why couldn`t they put them on the releases we already bought",sons couldnt put releases already bought,1
http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,httpwwwdothebouncycomsmf shameless plugging best rangers forum earth,1
2am feedings for the baby are fun when he is all smiles and coos,feedings baby fun smiles coos,1
Soooo high,soooo high,1
 Both of you,,1
 Journey!? Wow... u just became cooler.  hehe... (is that possible!?),journey wow u became cooler hehe possible,1
" as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",much love hopeful reckon chances minimal p im never gon na get cake stuff,1
I really really like the song Love Story by Taylor Swift,really really like song love story taylor swift,1
My Sharpie is running DANGERously low on ink,sharpie running dangerously low ink,1
i want to go to music tonight but i lost my voice.,want go music tonight lost voice,1
test test from the LG enV2,test test lg env,1
"Uh oh, I am sunburned",uh oh sunburned,1
" S`ok, trying to plot alternatives as we speak *sigh*",sok trying plot alternatives speak sigh,1
"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",ive sick past days thus hair looks wierd didnt hat would look httptinyurlcommnfkw,1
is back home now      gonna miss every one,back home gon na miss every one,1
Hes just not that into you,hes,1
" oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3",oh marly im sorry hope find soon,1
Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,playing ghost online really interesting new updates kirin pet metamorph third job cant wait dragon pet,1
is cleaning the house for her family who is comming later today..,cleaning house family comming later today,1
gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,got ta restart computer thought win supposed put end constant rebootiness,1
SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,see wat mean bout follw friidays called lose fllowers friday smh,1
"the free fillin` app on my ipod is fun, im addicted",free fillin app ipod fun im addicted,1
  I`m sorry.,im sorry,1
On the way to Malaysia...no internet access to Twit,way malaysiano internet access twit,1
juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,juss came backk berkeleyy omg madd fun havent minute whassqoodd,1
Went to sleep and there is a power cut in Noida  Power back up not working too,went sleep power cut noida power back working,1
I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,im going home seen new twitter design quiteheavenly,2
i hope unni will make the audition . fighting dahye unni !,hope unni make audition fighting dahye unni,1
 If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,consolation got bmi tested hahaha says obesed well much unhappy minutes,1
 That`s very funny.  Cute kids.,thats funny cute kids,1
" Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",ahhh slept game im gon na try best watch tomorrow though hope play army,1
"Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4",thats end tears fears vs eric prydz dj hero httpbitlyhpbg,1
Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,born raised nyc living texas past years still miss ny,1
"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",case wonder really busy today coming adding tons new blogs updates stay tuned,1
i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,im soooooo sleeeeepy last day school todaysniffle,1
"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day",little happy wine jeje ok itsm free time cares jaja love day,1
" Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",car happy big big dent boot hoping theyre going write crossing fingers waiting,2
im an avid fan of **** magazine and i love your magazines,im avid fan magazine love magazines,1
MAYDAY?!,mayday,1
